timestamp,time_sec,delta_rms,delta_env,delta_cc,theta_rms,theta_env,theta_cc,alpha_rms,alpha_env,alpha_cc,beta_rms,beta_env,beta_cc,gamma_rms,gamma_env,gamma_cc,acc_x,acc_y,acc_z,acc_x_dev,acc_y_dev,acc_z_dev

# === BASELINE DATA ===
# DELTA: μ=163.10 σ=0.00
# THETA: μ=45.76 σ=0.00
# ALPHA: μ=29.72 σ=0.00
# BETA: μ=30.74 σ=0.00
# GAMMA: μ=18.93 σ=0.00
2025-12-08T08:54:54.961538,61.9,164.75032169757446,0.03090647101145659,1,45.13418207163888,0.039227987583271035,2,28.824735554827093,0.06375993059440152,3,30.471898715941183,0.028919221845346108,1,19.72470896880327,0.17914895996974736,8,-0.25494384765625,0.14642333984375,0.9613037109375,-0.2549,0.1464,0.9613
2025-12-08T08:54:55.962244,62.9,164.61132405418905,0.04994342236361741,2,47.32339896584001,0.0698595950496394,3,30.09225046667917,0.018597521132413388,1,31.0128503028068,0.009341299223175774,0,18.004634377243992,0.08136095422946166,3,-0.12359619140625,0.14105224609375,0.97607421875,-0.1236,0.1411,0.9761
2025-12-08T08:54:56.974858,64.0,156.56565785039896,0.08708756580919397,4,47.878546760687996,0.18084692040011185,8,30.218188073210527,0.02193794367540453,1,32.480165783542255,0.19481400203890223,8,17.7313297397319,0.3250362447112226,14,-0.14410400390625,0.1416015625,0.9793701171875,-0.1441,0.1416,0.9794
2025-12-08T08:54:57.983007,65.0,155.53234879001613,0.2023196658564444,9,44.32275707084521,0.03675416069080786,2,29.103044951870018,0.028687140886835053,1,28.860208104377268,0.06685394549647156,3,18.54270188387341,0.3135703188922358,13,-0.16552734375,0.0958251953125,0.99468994140625,-0.1655,0.0958,0.9947
2025-12-08T08:54:58.984209,66.0,167.42468239692943,0.06073902711741146,3,47.084903338454865,0.1081715038271143,5,28.485214107993027,0.10789359403024129,5,32.84975435735099,0.1814483775166448,8,19.194898227564288,0.15921806238222294,7,-0.17083740234375,0.12652587890625,0.9720458984375,-0.1708,0.1265,0.9720
2025-12-08T08:54:59.993170,67.0,155.44330712256087,0.185539693301468,8,47.59164912802283,0.1897707020784907,8,29.673185586330106,0.07917883338608853,3,33.66802053949092,0.4437555853722392,19,16.683554786151266,0.6146139434965743,26,-0.12969970703125,-0.1422119140625,0.9586181640625,-0.1297,-0.1422,0.9586
2025-12-08T08:55:00.993253,68.0,157.55757434389793,0.23338887987847134,10,44.09596562754073,0.028855233373121986,1,28.304989924223307,0.15600537247431845,7,32.25294654186234,0.47433021521219787,20,16.58598504238652,0.9552817087667174,40,-0.06292724609375,-0.30755615234375,0.93133544921875,-0.0629,-0.3076,0.9313
2025-12-08T08:55:01.996852,69.0,178.67450876869492,0.12774850102141969,5,49.34327528661423,0.24350280993161727,10,32.20748064186157,0.0666795903923298,3,31.868721518576358,0.45417847562366953,19,15.244740548414253,1.4946693951804417,63,-0.0455322265625,0.6436767578125,0.79461669921875,-0.0455,0.6437,0.7946
2025-12-08T08:55:03.006077,70.0,174.3436588382597,0.2996100433816486,13,41.43763678743411,0.09933920203214044,4,30.80034219110482,0.12287337496750134,5,30.20063856860522,0.25966889494621836,11,15.63681542593708,1.7842752548591687,76,0.47088623046875,0.17413330078125,0.8590087890625,0.4709,0.1741,0.8590
2025-12-08T08:55:04.006635,71.0,177.3682455506376,0.47643639053775033,20,38.333223267669155,0.5329589875482938,23,22.575765666947586,0.42044336561545737,18,23.50941119049646,0.6001448223489572,25,12.95978549892894,2.5876150687232844,110,-0.23419189453125,0.10394287109375,0.94915771484375,-0.2342,0.1039,0.9492
2025-12-08T08:55:05.015133,72.0,128.57401713696285,0.3116483357209032,13,42.057614283817415,0.6041928449994763,26,23.75219376931356,0.717423571759505,30,24.02910528310971,1.1458094485445516,49,12.558995807385717,3.2398737060503624,127,-0.333984375,0.35888671875,0.8795166015625,-0.3340,0.3589,0.8795
2025-12-08T08:55:06.015383,73.0,218.3439818073752,0.8143072532060759,34,57.54280149450991,0.31179501438636104,13,34.60214640156117,0.15666821680853532,7,33.869505760633835,0.4635342430215275,20,18.173514037374275,2.4367871516343964,103,0.040771484375,0.09906005859375,0.96337890625,0.0408,0.0991,0.9634
2025-12-08T08:55:07.021476,74.0,124.92347283979677,0.14335985145241514,6,36.32860897021995,0.3701980640224953,16,23.02379346074649,0.5843829168574085,25,25.04225205135938,0.9406101034586207,40,14.88537880181686,2.612349241211017,111,-0.0660400390625,-0.114501953125,0.96673583984375,-0.0660,-0.1145,0.9667
2025-12-08T08:55:08.023612,75.0,181.6666650322371,0.24668603043646697,10,44.60512017089977,0.33136560457817577,14,29.68100878772857,0.4121671415306432,17,27.78536045855139,0.9778957159105073,41,16.258331182501173,2.427208503971806,103,-0.0615234375,0.53570556640625,0.88726806640625,-0.0615,0.5357,0.8873
2025-12-08T08:55:09.029020,76.0,150.77304164367192,0.057619751601801716,2,43.908187224503536,0.34765241059093094,15,31.45617082464468,0.16585857195200182,7,31.67546696029122,0.5832801788762231,25,16.556576332110716,2.230696009430451,94,-0.028076171875,-0.34100341796875,0.923583984375,0.1606,-0.4213,-0.0536
2025-12-08T08:55:10.029220,77.0,150.77304164367192,0.057619751601801716,2,43.908187224503536,0.34765241059093094,15,31.45617082464468,0.16585857195200182,7,31.67546696029122,0.5832801788762231,25,16.556576332110716,2.230696009430451,94,0.134765625,0.10882568359375,0.98150634765625,0.3234,0.0285,0.0043
2025-12-08T08:55:11.031398,78.0,175.44893210368076,0.19050753696322648,8,46.35920914504618,0.20617653776835188,9,28.724646182554494,0.1869515467238732,8,32.914620314140755,0.1730347251590279,7,16.69459579911049,2.0621713559906674,87,0.1446533203125,0.13128662109375,0.97979736328125,0.3333,0.0510,0.0026
2025-12-08T08:55:12.042771,79.0,171.19681314570897,0.2847333336627096,12,46.473336201378544,0.10002502429268861,4,32.47920883912534,0.06426726664464269,3,31.749519924752175,0.011868648723357633,1,18.839497106396024,1.4629762224806984,62,0.14593505859375,0.1383056640625,0.987548828125,0.3346,0.0580,0.0104
2025-12-08T08:55:13.065493,80.1,171.19681314570897,0.2847333336627096,12,46.473336201378544,0.10002502429268861,4,32.47920883912534,0.06426726664464269,3,31.749519924752175,0.011868648723357633,1,18.839497106396024,1.4629762224806984,62,0.1094970703125,0.10198974609375,0.9903564453125,0.2982,0.0217,0.0132
2025-12-08T08:55:14.074617,81.1,158.15939621827488,0.10704904460328847,5,43.360591798060014,0.2198689609611993,9,27.066331719392473,0.14334317214361697,6,32.43744629360828,0.17534692072475536,7,17.522500326956738,1.3390196871737945,57,-0.07489013671875,0.06201171875,0.98590087890625,0.1138,-0.0183,0.0087
2025-12-08T08:55:15.110788,82.1,158.8719762351166,0.004013311617672613,0,44.79964836194364,0.21400200122857838,9,32.23574505979541,0.0775454623677933,3,30.830604186055204,0.1326176605267082,6,18.144808892725166,1.112629595483338,47,-0.1251220703125,0.126220703125,0.9833984375,0.0635,0.0459,0.0062
2025-12-08T08:55:16.110829,83.1,173.23571606636193,0.1866716165638579,8,50.354119342572844,0.13655172888885117,6,29.778950579603645,0.05812119898748053,2,31.857252674011622,0.2137393304845696,9,17.95778550090783,0.9961169092996816,42,0.00823974609375,0.126708984375,1.01385498046875,0.1969,0.0464,0.0367
2025-12-08T08:55:17.151557,84.1,173.6987757399972,0.3288046934777643,14,50.998564796106706,0.4221350856152563,18,33.34801616287982,0.2973669701466487,13,32.23739200686248,0.31163661204092186,13,18.370928399992604,0.8218657082671688,35,0.01763916015625,0.1142578125,0.980712890625,0.2063,0.0340,0.0035
2025-12-08T08:55:18.164376,85.2,173.6987757399972,0.3288046934777643,14,50.998564796106706,0.4221350856152563,18,33.34801616287982,0.2973669701466487,13,32.23739200686248,0.31163661204092186,13,18.370928399992604,0.8218657082671688,35,-0.03704833984375,0.103759765625,0.9866943359375,0.1516,0.0235,0.0095
2025-12-08T08:55:19.184464,86.2,154.49654525656996,0.0694478907778863,3,43.9221992053699,0.18067203637769796,8,28.884916348579285,0.148660327078069,6,31.238601579093764,0.27214540944846377,12,18.232133851309094,0.7310296713436093,31,-0.0335693359375,0.10980224609375,0.988037109375,0.1551,0.0295,0.0109
2025-12-08T08:55:20.185508,87.2,169.0129048245368,0.15917885351911099,7,45.82534479000881,0.13035206131629146,6,34.134737052515526,0.41647790488610315,18,36.70798934768844,0.8360164841034683,35,18.625394248296217,0.5792129427448107,25,-0.25341796875,0.1217041015625,0.962890625,-0.0648,0.0414,-0.0143
2025-12-08T08:55:21.187426,88.2,184.68769223716205,0.5149198715911325,22,52.791242490852156,0.5296093069847106,22,29.90245973045214,0.30412364822817733,13,33.49001268104,0.8827016896103403,37,17.208825870624032,0.7907610733985652,33,-0.2742919921875,0.1370849609375,0.9559326171875,-0.0856,0.0568,-0.0212
2025-12-08T08:55:22.187563,89.2,180.24575174386644,0.6809279072086687,29,49.16528314841952,0.5829288270464205,25,31.48813600207091,0.3378094849496993,14,33.29039561288107,0.893792724576244,38,19.060224217605295,0.5234669144578926,22,-0.25909423828125,0.13897705078125,0.95849609375,-0.0704,0.0587,-0.0187
2025-12-08T08:55:23.195047,90.2,167.78381486032185,0.5642457166906002,24,44.01275522840869,0.2988758709866803,13,27.841607637693333,0.10305913142972448,4,33.46825256678415,0.9207916990808407,39,18.89823990960877,0.3727036378158793,16,-0.26263427734375,0.12872314453125,0.9541015625,-0.0740,0.0484,-0.0231
2025-12-08T08:55:24.220941,91.2,159.72258598162017,0.3319204950151483,14,41.12789060255767,0.07989773762057178,3,27.50027649578822,0.08544698479450483,4,32.896223795428284,0.8778260037954984,37,17.026555131918087,0.6870986375289886,29,-0.2689208984375,0.1273193359375,0.94708251953125,-0.0803,0.0470,-0.0301
2025-12-08T08:55:25.222304,92.2,159.72258598162017,0.3319204950151483,14,41.12789060255767,0.07989773762057178,3,27.50027649578822,0.08544698479450483,4,32.896223795428284,0.8778260037954984,37,17.026555131918087,0.6870986375289886,29,-0.2744140625,0.13006591796875,0.95458984375,-0.0858,0.0498,-0.0226
2025-12-08T08:55:26.223083,93.2,159.86098653999608,0.15116530415420715,6,43.26083066325902,0.19183266314018227,8,28.571822531403267,0.3086053618991776,13,31.53881482735073,0.7359880612669419,31,17.28943618180542,0.9540019610782275,40,-0.28485107421875,0.125244140625,0.95806884765625,-0.0962,0.0450,-0.0191
2025-12-08T08:55:27.223095,94.2,159.86098653999608,0.15116530415420715,6,43.26083066325902,0.19183266314018227,8,28.571822531403267,0.3086053618991776,13,31.53881482735073,0.7359880612669419,31,17.28943618180542,0.9540019610782275,40,-0.2879638671875,0.13201904296875,0.9527587890625,-0.0993,0.0517,-0.0244
2025-12-08T08:55:28.269729,95.3,165.87968247003863,0.15782760000458423,7,45.43332265613536,0.1548526724423349,7,28.02432180620147,0.33648727007007306,14,30.543640592575212,0.49403131325395233,21,15.06383244137591,1.534361930723923,65,-0.296630859375,0.1322021484375,0.9520263671875,-0.1080,0.0519,-0.0251
2025-12-08T08:55:29.319587,96.3,163.2522273737736,0.11338950779891316,5,44.7903780236239,0.16906881447209493,7,27.690317938750184,0.37966638959054544,16,32.656196006952726,0.5531347007759542,23,16.656315836254656,1.5833259544346403,67,-0.28863525390625,0.13763427734375,0.94927978515625,-0.1000,0.0573,-0.0279
