timestamp,time_sec,delta_rms,delta_env,delta_cc,theta_rms,theta_env,theta_cc,alpha_rms,alpha_env,alpha_cc,beta_rms,beta_env,beta_cc,gamma_rms,gamma_env,gamma_cc,acc_x,acc_y,acc_z,acc_x_dev,acc_y_dev,acc_z_dev,ppg_bpm,ppg_cc

# === BASELINE DATA ===
# === DATA START ===
2025-12-16T08:43:41.404605,22.0,172.8237262420779,0,0,46.993437483022824,0,0,28.959856457894283,0,0,28.448977764051005,0,0,14.577321810577198,0,0,-0.26422119140625,0.14569091796875,0.9482421875,-0.2642,0.1457,0.9482,64.96866552679445,8
2025-12-16T08:43:42.418623,23.0,177.07352629721785,0.13774835893893003,6,48.43433529701214,0.17056249212319238,7,29.917467084376344,0.14082355667021415,6,29.0269187982538,0.047592804207903315,2,14.826740438807267,0.07076715739215814,3,-0.28277587890625,0.137939453125,0.959716796875,-0.2828,0.1379,0.9597,63.830588294267315,6
2025-12-16T08:43:43.430621,24.0,171.44694201133626,0.4147033392390428,18,46.16042307175286,0.5515448707056603,23,29.264289805935043,0.38610960480990664,16,27.851617220591255,0.4680134140313279,20,14.713739170096265,0.1831378999446,8,-0.27777099609375,0.14752197265625,0.95172119140625,-0.2778,0.1475,0.9517,65.26749810956038,8
2025-12-16T08:43:44.467198,25.0,166.88891465733573,0.5763675652545722,24,45.22833671533817,0.7244046614006707,31,28.10776448078853,0.5622885632934793,24,27.608664115719122,0.5978611374549265,25,13.966480250601991,0.38971053125984567,16,-0.262939453125,0.1417236328125,0.95599365234375,-0.2629,0.1417,0.9560,78.43623097119124,29
2025-12-16T08:43:45.478640,26.0,166.9568406029659,0.6885432620988698,29,46.82712393240492,0.7617465407997137,32,28.031385203000504,0.6919948008406573,29,27.669298807732943,0.6792351982607263,29,14.348386116292142,0.44963078520428945,19,-0.2623291015625,0.12841796875,0.947998046875,-0.2623,0.1284,0.9480,67.24922790167952,12
2025-12-16T08:43:46.509053,27.1,168.1716971899779,0.749373295065209,32,44.7452146071858,0.896826232147016,38,28.621737502378906,0.7334692675542736,31,27.76312025339365,0.7214675396860388,31,14.15562517761744,0.5343161489284007,23,-0.27191162109375,0.13323974609375,0.9490966796875,-0.2719,0.1332,0.9491,65.57490982130952,9
2025-12-16T08:43:47.518657,28.1,175.0156898720128,0.6922796284390205,29,48.121230104677714,0.8147247561220178,34,29.89143052458279,0.6564272205697019,28,28.310818799118547,0.66504422636621,28,14.670596718980097,0.47941045410572036,20,-0.259521484375,0.14093017578125,0.95684814453125,-0.2595,0.1409,0.9568,63.69343600762217,6
2025-12-16T08:43:48.523992,29.1,171.81495368126394,0.6989290132558967,30,47.01250814241298,0.8152699802545411,35,29.539071605234117,0.6319349670274103,27,28.281946805411007,0.6300806667029626,27,15.086586048642289,0.3487384997060396,15,-0.26019287109375,0.1380615234375,0.9532470703125,-0.2602,0.1381,0.9532,67.27703205806078,12
2025-12-16T08:43:49.531209,30.1,171.1607517596815,0.7131112628234763,30,48.579401290816044,0.7336605886863836,31,29.684706690416828,0.6026235735930678,26,28.962319209325752,0.49879108562024166,21,15.412070062434058,0.18509804956967682,8,-0.26641845703125,0.13555908203125,0.944091796875,-0.2664,0.1356,0.9441,64.97476352368857,8
2025-12-16T08:43:50.553241,31.1,168.79409388442335,0.7575064210364459,32,46.329827716082235,0.794247782225219,34,28.61305420189554,0.6716348388861977,28,27.45531466859831,0.6434806093744945,27,14.292764571928737,0.3187351004929559,13,-0.2691650390625,0.1383056640625,0.94647216796875,-0.2692,0.1383,0.9465,65.41278077810493,9
2025-12-16T08:43:51.576185,32.1,170.27263704215193,0.7670497927384721,32,47.07300643820693,0.7977703952959647,34,29.56640213511206,0.6402970208811645,27,27.794529530465475,0.6915082269146391,29,15.069578926592186,0.2400367680853928,10,-0.2698974609375,0.13934326171875,0.96826171875,-0.2699,0.1393,0.9683,65.36048392004552,9
2025-12-16T08:43:52.576970,33.1,170.94684541644853,0.7639111023222931,32,45.84846294723704,0.8643130919797843,37,29.059878060854583,0.660677172602083,28,27.188361603897008,0.8202929139981984,35,14.55881100429404,0.29820130976616566,13,-0.25213623046875,0.14202880859375,0.95916748046875,-0.2521,0.1420,0.9592,67.22993806279294,11
2025-12-16T08:43:53.578180,34.1,169.79758900094478,0.7784515846488826,33,47.8318997154857,0.8071053918766131,34,29.071921794489473,0.6739371071801585,29,28.587411277445078,0.690798342588292,29,14.795504662086204,0.28643403210517193,12,-0.25738525390625,0.13226318359375,0.95025634765625,-0.2574,0.1323,0.9503,63.13796701304098,5
2025-12-16T08:43:54.587616,35.1,180.61997274119034,0.6310146542215708,27,50.32012266981631,0.6368583929467452,27,30.367875714243898,0.5749509692029591,24,29.37556224041724,0.47641635463891546,20,15.01958077066592,0.2285121899272901,10,-0.2640380859375,0.14129638671875,0.96136474609375,-0.2640,0.1413,0.9614,68.3594996343189,13
2025-12-16T08:43:55.596614,36.2,174.71276342921234,0.6138403465746589,26,48.76039712427313,0.5993014819466682,25,30.654826154139847,0.4816879246649143,20,29.17855407409715,0.3572782670273981,15,14.92581961675618,0.20875670845680305,9,-0.26116943359375,0.14105224609375,0.94921875,0.0120,0.0027,-0.0027,66.69385877225784,11
2025-12-16T08:43:56.605070,37.2,171.68141046817988,0.6459664155064768,27,46.37340844990894,0.6979159520323337,30,28.77004903000674,0.5738640398036445,24,27.608418371556372,0.5203851151655907,22,14.286233092168397,0.33674439698904524,14,-0.25201416015625,0.13873291015625,0.9461669921875,0.0212,0.0004,-0.0057,66.61393201591241,10
